restaurant_id,category_id
1,2
1,3
1,6
1,9
2,2
2,3
2,7
2,9
3,1
3,2
3,3
3,7
3,9
4,1
4,2
4,3
4,7
4,9
5,2
5,3
5,4
5,9
6,2
6,3
6,4
6,8
7,2
7,3
7,5
7,9
8,2
8,3
8,7
8,9
9,2
9,3
9,7
9,9
10,2
10,3
10,4
10,9
11,1
11,2
11,3
11,7
11,9
12,2
12,3
12,4
12,9
13,1
13,2
13,3
13,7
13,8
14,1
14,2
14,3
14,4
14,8
15,2
15,3
15,4
15,8
16,2
16,3
16,7
16,9
17,1
17,2
17,3
17,7
17,9
18,2
18,3
18,7
18,9
19,2
19,7
19,8
20,2
20,3
20,7
20,9
21,2
21,3
21,4
21,9
22,2
22,3
22,7
22,8
23,2
23,3
23,6
23,9
24,2
24,3
24,6
24,9
